#chr_A	pos_A	chr_B	pos_B
chr13	24678649	chr17	84699542
chr13	24918319	chr17	84749446
chr13	25421070	chr17	94788584
chr13	25430415	chr17	94511246
chr13	25594341	chr17	94873045
chr13	27118551	chr17	94803099
chr13	27118551	chr17	94803099
chr13	46780390	chr17	87393469
chr13	47110995	chr17	87456921
chr4	3052482	chr4	3389357
chr4	3095622	chr4	3631209
chr4	3132028	chr4	3135263
chr4	3233315	chr4	3276123
chr4	3254722	chr4	3256143
chr4	3287162	chr4	3821700
chr4	3475554	chr4	3481775
chr4	3500901	chr4	3754375
chr4	3529871	chr4	3535462
chr4	3542858	chr4	3546316
chr4	3546686	chr4	23602913
chr4	3605613	chr4	3890968
chr4	3664246	chr4	3669330
chr4	3720747	chr4	3766266
chr4	3721195	chr4	23671436
chr4	3732444	chr4	23252935
chr4	3754106	chr4	3754375
chr4	3768096	chr4	3768561
chr4	3784815	chr4	3811760
chr4	3825559	chr4	15752884
chr4	3849757	chr4	3857328
chr4	3851150	chr4	4113125
chr4	3892456	chr4	3900301
chr4	3916894	chr4	22190886
chr4	3930351	chr4	22149143
chr4	3945854	chr4	15461179
chr4	3960931	chr4	3963539
chr4	3970281	chr4	4016862
chr4	3974007	chr4	5657220
chr4	4056231	chr4	4752593
chr4	4096858	chr4	4101951
chr4	4138043	chr4	4961763
chr4	4140003	chr4	4485444
chr4	4168224	chr4	6035682
chr4	4295949	chr4	4485373
chr4	4296627	chr4	4306041
chr4	4323949	chr4	4947305
chr4	4326131	chr4	4408027
chr4	4333378	chr4	4676228
chr4	4416305	chr4	4826890
chr4	4417390	chr4	4841966
chr4	4424796	chr4	4433448
chr4	4439234	chr4	4439500
chr4	4493939	chr4	15451043
chr4	4623151	chr4	4626163
chr4	4626757	chr4	4627056
chr4	4640487	chr4	4645190
chr4	4670552	chr4	5377029
chr4	4675214	chr4	4916675
chr4	4746385	chr4	6035493
chr4	4800038	chr4	6195217
chr4	4906948	chr4	4933643
chr4	4940384	chr4	5163726
chr4	4962970	chr4	5016215
chr4	5091065	chr4	22956027
chr4	5111390	chr4	5129302
chr4	5184088	chr4	5379851
chr4	5385408	chr4	5976725
chr4	5439478	chr4	5890087
chr4	5451810	chr4	5488154
chr4	5460500	chr4	5528402
chr4	5465983	chr4	5474000
chr4	5535679	chr4	5549786
chr4	5806371	chr4	6078313
chr4	5834942	chr4	5839971
chr4	5960681	chr4	5963511
chr4	5960681	chr4	5963511
chr4	6101814	chr4	6107838
chr4	6176157	chr4	6178742
chr4	6258434	chr4	13509382
chr4	6267415	chr4	14462011
chr4	6335265	chr4	13694292
chr4	6354025	chr4	13089985
chr4	6354025	chr4	13089985
chr4	6371172	chr4	13071052
chr4	6377404	chr4	12234963
chr4	6377404	chr4	12234963
chr4	6378534	chr4	12981035
chr4	6394625	chr4	12997355
chr4	6394625	chr4	12997355
chr4	6408500	chr4	12328311
chr4	6418328	chr4	12347207
chr4	6428600	chr4	6482248
chr4	6428600	chr4	6482248
chr4	6429145	chr4	12573546
chr4	6439766	chr4	12350484
chr4	6455408	chr4	36652249
chr4	6460852	chr4	6948835
chr4	6483078	chr4	8188917
chr4	6486987	chr4	12766836
chr4	6542908	chr4	6544640
chr4	6593102	chr4	6595066
chr4	6593102	chr4	6595066
chr4	6616374	chr4	6616625
chr4	6631245	chr4	30689727
chr4	6656625	chr4	6667166
chr4	6699628	chr4	7149066
chr4	6757144	chr4	7312269
chr4	6765820	chr4	6767723
chr4	6769278	chr4	7092188
chr4	6803347	chr4	7163047
chr4	6839528	chr4	12597987
chr4	6849468	chr4	12587119
chr4	6865385	chr4	11810682
chr4	6872482	chr4	12600330
chr4	6877240	chr4	13951400
chr4	6882449	chr4	12601692
chr4	6915058	chr4	12367972
chr4	6915058	chr4	12367972
chr4	6957768	chr4	12130069
chr4	6992371	chr4	7289201
chr4	7080462	chr4	7117778
chr4	7118194	chr4	8420054
chr4	7130803	chr4	7689979
chr4	7212610	chr4	36768097
chr4	7273027	chr4	14162963
chr4	7338908	chr4	13887537
chr4	7338979	chr4	7527990
chr4	7345155	chr4	11870759
chr4	7381455	chr4	14128648
chr4	7447808	chr4	14106185
chr4	7483069	chr4	13273557
chr4	7499702	chr4	7607565
chr4	7518870	chr4	7579102
chr4	7521417	chr4	7599490
chr4	7574856	chr4	7591638
chr4	7639923	chr4	7641452
chr4	7666317	chr4	7938428
chr4	7709577	chr4	7709966
chr4	7710912	chr4	36988408
chr4	7717811	chr4	36519170
chr4	7788637	chr4	7792991
chr4	7861588	chr4	7912096
chr4	7867102	chr4	7869114
chr4	7980041	chr4	30693117
chr4	8013779	chr4	8198877
chr4	8025573	chr4	8093236
chr4	8025722	chr4	8239563
chr4	8050662	chr4	8528928
chr4	8061229	chr4	8354919
chr4	8069750	chr4	34609086
chr4	8074162	chr4	8380210
chr4	8077029	chr4	8093627
chr4	8077029	chr4	8093627
chr4	8077627	chr4	8078124
chr4	8092629	chr4	31277882
chr4	8129576	chr4	8153752
chr4	8157941	chr4	32705197
chr4	8185474	chr4	11348845
chr4	8201167	chr4	8367011
chr4	8225184	chr4	8225456
chr4	8239903	chr4	8311687
chr4	8280776	chr4	8294650
chr4	8280891	chr4	8311977
chr4	8372181	chr4	32633719
chr4	8459895	chr4	30435358
