1 2 3
2 3 6
2 4 1
2 12 1
2 13 2
2 14 6
2 15 5
3 4 10
3 5 1
3 7 2
3 12 1
3 13 12
3 14 2
3 15 8
4 5 11
4 10 1
4 13 1
4 15 1
4 17 1
4 18 1
4 21 1
5 6 14
5 7 7
5 8 1
5 9 2
5 13 2
5 14 4
5 15 1
5 16 2
5 17 5
5 21 4
6 7 14
6 8 2
6 13 4
6 16 2
6 22 1
7 8 11
7 13 5
7 14 2
7 15 3
7 22 15
7 42 1
8 9 5
8 11 4
8 12 7
8 16 8
8 17 15
8 22 1
8 41 1
9 10 11
9 11 6
9 12 2
10 11 25
10 21 1
11 12 4
11 19 2
11 21 1
12 13 7
12 15 1
12 16 12
13 14 8
13 15 2
13 16 2
13 17 2
14 15 7
15 16 5
15 17 1
16 17 21
17 18 2
17 22 2
17 23 3
17 28 1
17 29 3
18 19 2
18 20 2
18 21 14
18 23 15
18 24 2
18 25 1
18 28 2
18 29 12
18 30 1
18 41 3
18 42 1
19 20 11
19 21 1
19 24 1
20 21 11
21 22 3
21 24 4
21 29 1
21 30 16
21 32 4
21 34 2
22 23 4
22 30 1
22 31 4
22 41 4
22 42 14
23 24 7
23 27 4
23 28 11
23 29 7
23 30 1
23 32 3
23 41 8
24 25 8
24 27 11
24 28 1
24 33 1
24 34 6
24 35 6
24 53 6
25 26 31
25 27 4
26 27 7
26 36 10
27 28 12
27 29 9
27 36 8
27 37 1
27 38 1
27 39 4
27 41 3
28 29 14
28 39 6
28 40 1
28 41 10
29 30 2
29 51 1
29 52 8
29 53 1
30 31 6
30 32 5
30 41 1
30 42 3
31 32 10
31 42 19
31 43 2
31 48 1
31 49 16
32 33 6
32 35 1
32 41 1
32 42 2
32 49 4
32 51 4
32 52 12
32 70 4
33 34 2
33 35 2
33 52 13
33 53 3
34 35 8
34 52 2
34 53 4
35 36 8
35 37 3
35 38 1
35 53 4
36 37 5
36 38 4
36 39 1
36 47 1
37 38 16
37 39 2
37 40 1
37 47 1
37 75 1
38 39 16
38 40 2
38 41 2
38 74 1
39 40 10
39 41 9
39 44 1
39 47 1
40 41 17
40 43 14
40 44 8
40 47 1
40 48 1
40 49 1
40 50 1
40 61 2
40 62 6
40 63 1
40 65 6
41 42 5
41 43 4
41 44 2
42 43 5
42 49 5
43 44 1
43 48 8
43 49 1
43 50 2
43 62 7
43 63 3
43 75 1
44 45 3
44 51 1
44 52 12
44 53 10
44 54 3
44 74 2
44 75 15
45 46 9
45 47 1
45 53 1
45 54 8
45 55 4
45 56 5
45 57 1
45 60 11
45 61 1
45 74 1
45 75 3
46 47 8
46 55 6
46 57 2
46 58 10
46 59 5
46 60 8
46 74 4
47 48 12
47 54 6
47 56 3
47 60 1
47 61 14
47 62 2
47 63 2
47 64 3
47 65 1
47 74 3
48 49 18
48 50 1
48 51 11
48 61 7
48 62 4
48 63 3
48 65 3
48 74 3
49 50 8
49 51 6
49 69 5
49 70 2
50 51 15
50 63 3
50 69 4
50 70 7
50 76 1
50 78 13
51 52 10
51 62 1
51 70 20
51 75 1
51 78 1
52 53 11
52 54 1
52 70 1
52 71 1
54 55 9
54 56 6
54 59 1
54 74 6
55 56 9
55 57 1
55 59 3
55 60 2
55 74 1
56 57 2
56 59 1
56 60 4
56 61 8
56 62 4
56 71 5
56 74 17
56 75 9
57 58 8
57 59 1
57 60 2
57 64 5
57 70 2
57 71 20
57 72 3
57 75 1
58 59 7
58 60 1
58 64 1
58 71 4
58 72 10
59 60 26
60 61 2
60 64 2
60 71 2
60 73 2
61 62 9
61 63 1
61 64 16
61 65 4
61 74 1
62 63 4
62 64 2
62 65 2
62 70 2
62 71 2
62 74 2
62 75 11
62 78 2
62 79 2
63 64 12
63 65 11
63 73 4
63 78 1
63 79 1
63 81 2
63 82 1
64 65 9
64 76 2
64 81 4
65 66 2
65 67 5
65 75 3
65 76 4
65 79 11
65 81 1
65 87 1
66 67 19
66 76 9
66 77 6
66 79 3
66 86 1
66 87 14
66 88 1
66 89 2
67 68 11
67 69 1
67 75 8
67 76 15
67 77 2
67 78 9
68 69 12
68 76 2
68 77 1
69 70 6
70 71 3
70 75 2
70 78 1
71 72 1
71 73 2
71 75 12
71 79 1
72 73 5
73 74 3
73 82 1
73 83 1
74 75 8
75 76 3
75 78 4
75 79 7
76 77 12
76 78 4
76 79 7
76 86 2
76 87 3
77 78 2
77 87 1
77 89 14
78 79 7
78 81 1
79 80 8
79 81 9
79 82 5
79 83 2
79 87 13
79 88 5
79 89 1
79 90 1
79 91 9
80 82 1
80 83 19
80 84 2
80 87 8
80 88 8
80 89 2
80 90 1
80 91 3
81 82 11
81 83 3
81 87 1
82 83 19
83 84 20
83 85 5
84 85 22
84 86 1
85 86 5
86 87 13
86 88 5
86 89 4
86 91 2
86 92 8
87 88 10
87 89 6
87 90 10
87 91 3
87 92 1
88 89 6
88 90 5
88 91 12
89 90 30
90 91 11
91 92 10
92 93 5
